cat,subcat,market,region,y,y_fcst,MSE,MAPE
all,all,all,all,"[98898.53000000001, 107866.38000000005, 140520.2, 114686.15999999997, 161469.7, 195443.97, 123390.44000000002, 217082.94999999998, 270821.8300000001, 224207.42999999985, 292550.6600000001, 322520.04999999993, 139060.14, 91136.47999999995, 159675.47000000006, 164190.46999999997, 213758.60000000006, 249675.42000000004, 155086.58000000005, 296343.56, 298700.31999999995, 249986.04000000007, 327136.53, 332052.7900000001, 193120.9, 163935.81000000006, 198594.1399999999, 177821.44000000012, 260498.63000000012, 396519.75999999966, 229928.91999999998, 326488.93999999994, 376619.50999999995, 293406.77, 373989.56999999995, 405454.4899999997, 241268.65, 184837.45999999996, 263100.83000000025, 242772.0099999999, 288401.1300000002, 401814.18999999994, 258705.80000000005, 456620.18000000017, 481157.4100000001, 422766.8500000002, 555279.3000000003, 503143.86, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 259194.0, 248014.0, 229069.0, 245131.0, 314785.0, 371430.0, 278832.0, 376950.0, 499178.0, 390652.0, 511913.0, 576926.0, 342397.0, 257629.0, 282270.0, 346123.0, 355153.0, 469957.0, 350538.0, 471638.0, 637127.0, 547447.0, 642207.0, 715826.0, 455004.0, 330560.0, 340193.0, 443009.0, 445017.0, 578841.0, 466743.0, 569135.0, 795507.0, 725450.0, 792667.0, 910636.0]",0.14803696898646498,62.78382873535156
Furniture,all,all,all,"[34463.740000000005, 38291.34, 37963.06000000001, 34432.399999999994, 50864.71, 71568.1, 33698.770000000004, 73231.83, 86386.48, 82284.73, 95945.53999999996, 118211.51000000001, 43061.74000000001, 37916.819999999985, 53242.6, 55421.90999999999, 66721.52999999998, 78752.84000000001, 41110.93999999999, 84732.36999999998, 100895.27000000002, 81346.04, 125113.87000000002, 94443.17, 77993.48, 57734.270000000004, 65323.31999999999, 54587.01, 74370.85999999999, 115250.60999999997, 71853.89000000003, 112296.00999999998, 127700.74, 89318.60000000002, 122802.73999999999, 143203.10000000003, 69799.48, 57702.83000000001, 89705.40000000001, 70550.84999999999, 98312.08000000002, 136123.17, 82344.33000000002, 126283.9, 175776.68000000005, 130701.28, 168848.72, 171768.37, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 114060.0, 87077.0, 73570.0, 65644.0, 100663.0, 125528.0, 87237.0, 127040.0, 141093.0, 148058.0, 170676.0, 172336.0, 135587.0, 111984.0, 93886.0, 98482.0, 123720.0, 155008.0, 121515.0, 152768.0, 178466.0, 196539.0, 210196.0, 222378.0, 181296.0, 137388.0, 115343.0, 132949.0, 151107.0, 194216.0, 167267.0, 186422.0, 224025.0, 263098.0, 259932.0, 284468.0]",0.4288870658448205,52.66545867919922
Furniture,Bookcases,all,all,"[13401.999999999998, 15019.529999999999, 8975.469999999998, 6125.29, 16604.39, 24964.100000000002, 9314.35, 25849.099999999995, 35445.46000000001, 26526.430000000004, 39165.350000000006, 38457.270000000004, 16568.52, 13412.79, 19506.76, 16175.07, 31620.640000000003, 27475.260000000002, 12518.77, 36518.950000000004, 39037.53999999999, 30702.81, 40165.37, 38954.56, 27404.470000000005, 16655.7, 21750.69, 16594.969999999998, 17765.190000000002, 32511.93, 23720.059999999998, 41399.91999999999, 53450.10999999999, 34164.85, 41279.14, 44172.909999999996, 15651.029999999999, 26045.28, 32996.64, 31500.680000000004, 29909.260000000002, 52796.170000000006, 39702.19999999999, 50922.75999999999, 72777.36, 51030.8, 55939.479999999996, 53925.17, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 40204.0, 1530.0, 22738.0, 21593.0, 39377.0, 30721.0, 37798.0, 47159.0, 61293.0, 61877.0, 52811.0, 58703.0, 44560.0, 6809.0, 25999.0, 27187.0, 46344.0, 33106.0, 41557.0, 47678.0, 68225.0, 73029.0, 58932.0, 65612.0, 51673.0, 7444.0, 29331.0, 31062.0, 53295.0, 36817.0, 46957.0, 54181.0, 76935.0, 85877.0, 66689.0, 73937.0]",0.5637232659177648,138.8012237548828
Furniture,Bookcases,Africa,all,"[3739.95, 553.3100000000001, 1288.9499999999998, 769.3299999999999, 408.09, 458.62, 2749.17, 1325.3200000000002, 538.62, 431.12, 2227.1299999999997, 2865.4500000000003, 2890.08, 896.76, 1843.35, 1306.33, 2357.55, 1776.62, 1423.8899999999999, 1967.67, 5626.14, 489.35999999999996, 563.64, 2192.82, 1955.94, 823.26, 3538.7700000000004, 2951.87, 624.15, 3353.8199999999997, 1847.71, 911.14, 2684.43, 178.78, 1387.26, 1621.3999999999999, 3423.97, 51.1, 6451.84, 3419.25, 2973.5400000000004, 2304.6200000000003, 2265.28, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -204.0, 1400.0, 774.0, -2200.0, 1294.0, 882.0, 1068.0, 1025.0, 5953.0, 2565.0, 3457.0, 3515.0, -25.0, 2035.0, 561.0, -1314.0, 1313.0, 4228.0, 3072.0, 1211.0, 7247.0, 3147.0, 3978.0, 4537.0, 1282.0, 1863.0, 1582.0, -2104.0, 1631.0, 5108.0, 5213.0, 1295.0, 10430.0, 4683.0, 4677.0, 5572.0]",0.5394648969781378,214.60325622558594
Furniture,Bookcases,Asia Pacific,all,"[156.96, 6882.69, 2066.1, 1669.43, 6787.87, 7501.71, 3942.7900000000004, 16639.87, 13512.720000000001, 13211.880000000001, 13964.349999999999, 12462.359999999997, 9202.679999999998, 8580.619999999999, 8939.15, 5852.77, 8325.22, 7253.41, 746.14, 14986.61, 5837.490000000001, 12206.1, 12977.3, 16817.05, 9349.91, 2449.84, 4911.57, 3978.87, 10239.7, 12896.94, 9257.48, 20563.789999999997, 19515.73, 19480.120000000003, 5696.97, 20220.82, 10728.590000000002, 10903.85, 14699.0, 6631.889999999999, 13552.19, 22913.85, 19701.690000000002, 14543.03, 25578.600000000002, 27056.219999999998, 17287.809999999998, 17730.56, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 19999.0, 6114.0, 8768.0, 9755.0, 9056.0, 11321.0, 22606.0, 21875.0, 24288.0, 30291.0, 19211.0, 29317.0, 15498.0, 13597.0, 10499.0, 11807.0, 7983.0, 22988.0, 28120.0, 16388.0, 28851.0, 34315.0, 29918.0, 19241.0, 19811.0, 16727.0, 12104.0, 15403.0, 9816.0, 27067.0, 34628.0, 21324.0, 35358.0, 42069.0, 37857.0, 23435.0]",0.18509110332527395,634.7279663085938
Furniture,Bookcases,Europe,all,"[4508.610000000001, 7160.73, 4227.96, 1006.53, 5328.05, 12039.32, 405.66999999999996, 4840.88, 7346.77, 4548.1, 8649.85, 14833.8, 1732.84, 1799.4099999999999, 6764.829999999999, 2904.46, 8526.17, 11010.400000000001, 5124.870000000001, 12014.92, 17118.39, 5928.050000000001, 6640.91, 10763.97, 7808.01, 5887.629999999999, 7704.0, 4136.66, 2449.13, 9007.630000000001, 3821.44, 9883.850000000002, 17190.850000000002, 2409.98, 13646.960000000001, 9196.76, 2346.8, 6694.84, 9823.89, 16816.41, 4624.16, 11488.66, 9213.42, 22334.760000000002, 28980.25, 5375.91, 17321.92, 16284.240000000002, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 9183.0, 3644.0, -4002.0, 16058.0, 9462.0, 14579.0, 7018.0, 5715.0, 30378.0, 15083.0, 19945.0, 12224.0, 17023.0, 3016.0, -5420.0, 18262.0, 12136.0, 13496.0, 7216.0, 7349.0, 32220.0, 17413.0, 20845.0, 13566.0, 16576.0, 2234.0, -5812.0, 18545.0, 12672.0, 13621.0, 7633.0, 7637.0, 32940.0, 18371.0, 21150.0, 14228.0]",0.42875056800484246,138.33270263671875
Furniture,Bookcases,LATAM,all,"[4277.09, 685.44, 974.96, 2587.52, 2558.88, 3894.16, 3070.1299999999997, 3115.4500000000003, 12191.5, 8149.45, 5654.35, 7212.92, 3741.98, 1089.72, 2405.3499999999995, 4315.0, 9986.98, 5838.43, 2890.62, 3869.1, 4090.13, 7841.139999999999, 10098.600000000002, 7130.720000000001, 6039.339999999999, 2169.21, 7553.909999999999, 6358.029999999999, 2883.54, 7201.180000000001, 6010.36, 6851.3, 7658.58, 9750.23, 12048.64, 11120.189999999999, 452.65999999999997, 4636.44, 6572.109999999999, 4481.29, 6379.38, 10096.61, 8599.71, 6986.76, 10468.24, 11292.38, 15144.44, 13990.990000000002, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 10080.0, 2291.0, 4554.0, 6750.0, 6543.0, 4043.0, 10520.0, 6039.0, 9774.0, 13231.0, 10571.0, 13118.0, 13505.0, 1433.0, 6743.0, 10854.0, 8316.0, 5793.0, 13961.0, 8442.0, 11855.0, 16772.0, 14154.0, 17830.0, 16823.0, -61.0, 8384.0, 13979.0, 10498.0, 8792.0, 19096.0, 11892.0, 15119.0, 21406.0, 19383.0, 24763.0]",1.249422427819809,183.03013610839844
Furniture,Bookcases,USCA,all,"[719.3900000000001, 290.67, 1706.45, 308.5, 640.6400000000001, 759.5799999999999, 1487.6699999999998, 794.2800000000001, 2394.4700000000003, 617.0, 8147.63, 2622.87, 1352.4, 1511.92, 1397.43, 875.71, 1916.82, 482.94, 2860.38, 3804.9699999999993, 10685.199999999999, 2369.9700000000003, 8671.939999999999, 2818.93, 2239.54, 522.88, 1091.8500000000001, 1557.77, 1450.2399999999998, 3807.5199999999995, 562.21, 6133.08, 1900.3700000000001, 6532.75, 1787.4300000000003, 1211.8400000000001, 1125.72, 1722.8600000000001, 2183.83, 3732.1299999999997, 4873.08, 2136.28, 606.37, 4331.02, 4332.75, 3880.69, 3654.1, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 8144.0, -186.0, 1738.0, 2433.0, 2635.0, 4651.0, 5709.0, 5739.0, 1831.0, 2679.0, 7059.0, 4922.0, 4659.0, 2713.0, 1965.0, 2472.0, 1211.0, 3768.0, 6379.0, 3355.0, 1436.0, 2940.0, 4858.0, 4150.0, 4097.0, 2335.0, 1738.0, 2108.0, 1113.0, 3017.0, 4876.0, 2701.0, 1275.0, 2450.0, 3802.0, 3300.0]",0.08670998790209221,389.2997131347656
Furniture,Furnishings,all,all,"[2415.0800000000004, 4331.630000000001, 3513.07, 5892.0599999999995, 3648.6799999999994, 4893.110000000001, 3113.4, 5516.8099999999995, 8776.820000000002, 6948.620000000001, 8221.570000000002, 6554.66, 6017.07, 4369.0, 4513.13, 5669.240000000002, 5029.26, 10190.53, 5928.669999999999, 6757.5199999999995, 8082.99, 4700.21, 12643.0, 7846.59, 5138.7699999999995, 5833.2699999999995, 5699.060000000001, 4594.2300000000005, 7761.710000000001, 12741.539999999999, 7186.49, 8868.439999999999, 14224.349999999999, 9734.819999999996, 14375.41, 15543.879999999997, 7934.26, 5128.56, 7550.550000000001, 7952.680000000001, 7428.24, 11128.269999999999, 9501.310000000001, 11303.65, 15305.96, 9957.77, 18162.34, 16527.87, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 11031.0, 9534.0, 8430.0, 2026.0, 9865.0, 12391.0, 6049.0, 10187.0, 15905.0, 8772.0, 13242.0, 20512.0, 11899.0, 12039.0, 8277.0, 9206.0, 12507.0, 15876.0, 10026.0, 15062.0, 20808.0, 15352.0, 18474.0, 26673.0, 18360.0, 15483.0, 10973.0, 12853.0, 17115.0, 20189.0, 16130.0, 20189.0, 28598.0, 23830.0, 23962.0, 37634.0]",0.2903117131277718,105.95114135742188
Furniture,Furnishings,Africa,all,"[50.7, 120.08, 119.93, 630.77, 165.56000000000003, 855.24, 78.06, 126.96, 301.5, 89.04, 546.3100000000001, 461.75000000000006, 215.18, 261.27, 149.63, 514.75, 390.67, 501.02, 1792.7400000000002, 51.75, 587.1500000000001, 80.13, 22.17, 239.76, 69.15, 589.08, 720.54, 622.28, 249.64, 702.24, 394.11, 649.35, 1176.4799999999998, 376.55000000000007, 132.29999999999998, 829.52, 306.97, 255.67, 1086.8100000000002, 252.83999999999997, 621.26, 1588.66, 181.98, 710.73, 754.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1278.0, 1379.0, 131.0, 631.0, 516.0, 536.0, 1222.0, 934.0, 31.0, 1246.0, 1025.0, 342.0, 1061.0, 894.0, 87.0, 1494.0, 686.0, 249.0, 990.0, 941.0, 377.0, 1574.0, 1106.0, 379.0, 1033.0, 921.0, 76.0, 1545.0, 745.0, 245.0, 1068.0, 1009.0, 447.0, 1685.0, 1142.0, 433.0]",0.32682601258986527,404.1788024902344
